student_id,class_id,major,epi_len,app_len,total_len,n_entities,n_relations,n_epi_entities,n_app_entities,cross_edges,relation_entity_ratio,cross_ratio,connectivity,coverage,community_cross_ratio,relation_entity_ratio_pct,cross_ratio_pct,connectivity_pct,coverage_pct,community_cross_ratio_pct
A_김016,A,국어국문학과,389,211,600,14,9,9,5,1,0.6429,0.1111,0.6667,0.0789,0.1111,4.761904761904762,35.714285714285715,21.428571428571427,23.809523809523807,14.285714285714285
A_김017,A,영어영문학과,151,150,301,11,8,7,4,1,0.7273,0.125,0.875,0.1579,0.75,28.57142857142857,45.23809523809524,38.095238095238095,92.85714285714286,100.0
A_김018,A,영어영문학과,144,161,305,11,8,5,6,0,0.7273,0.0,1.0,0.0789,0.375,28.57142857142857,7.142857142857142,73.80952380952381,23.809523809523807,71.42857142857143
A_김019,A,영어영문학과,84,390,474,10,7,3,7,0,0.7,0.0,1.0,0.1053,0.2857,9.523809523809524,7.142857142857142,73.80952380952381,54.761904761904766,52.38095238095239
A_김020,A,영어영문학과,134,91,225,12,10,8,4,1,0.8333,0.1,1.0,0.0789,0.2,71.42857142857143,26.190476190476193,73.80952380952381,23.809523809523807,26.190476190476193
A_김021,A,영어영문학과,330,164,494,11,8,8,3,2,0.7273,0.25,1.0,0.1053,0.25,28.57142857142857,95.23809523809523,73.80952380952381,54.761904761904766,40.476190476190474
A_김022,A,영어영문학과,72,250,322,9,7,4,5,1,0.7778,0.1429,1.0,0.0789,0.5714,57.14285714285714,54.761904761904766,73.80952380952381,23.809523809523807,92.85714285714286
B_박001,B,일어일문학과,157,176,333,12,11,7,5,1,0.9167,0.0909,1.0,0.1739,0.2727,93.75,31.25,68.75,81.25,56.25
B_박002,B,일어일문학과,70,107,177,6,5,3,3,1,0.8333,0.2,1.0,0.1304,0.4,46.875,81.25,68.75,43.75,84.375
B_박003,B,일어일문학과,42,92,134,6,6,2,4,3,1.0,0.5,1.0,0.1739,0.6667,100.0,100.0,68.75,81.25,100.0
B_박004,B,일어일문학과,62,318,380,8,6,3,5,0,0.75,0.0,0.5714,0.1304,0.1667,12.5,15.625,9.375,43.75,28.125
B_박005,B,일어일문학과,153,193,346,10,8,6,4,1,0.8,0.125,0.8571,0.1304,0.125,34.375,62.5,31.25,43.75,18.75
B_박006,B,일어일문학과,179,132,311,6,5,6,0,0,0.8333,0.0,1.0,0.087,0.2,46.875,15.625,68.75,12.5,37.5
B_박007,B,일어일문학과,69,34,103,8,6,5,3,1,0.75,0.1667,0.5714,0.1304,0.1667,12.5,71.875,9.375,43.75,28.125
B_박008,B,일어일문학과,114,20,134,10,9,8,2,2,0.9,0.2222,0.7143,0.1304,0.1111,78.125,87.5,25.0,43.75,12.5
B_박009,B,철학과,78,108,186,8,7,3,5,0,0.875,0.0,0.6667,0.087,0.0,68.75,15.625,18.75,12.5,6.25
B_박010,B,철학과,65,39,104,7,6,4,3,1,0.8571,0.1667,1.0,0.1304,0.3333,59.375,71.875,68.75,43.75,68.75
B_박011,B,철학과,82,236,318,10,8,4,6,0,0.8,0.0,1.0,0.1304,0.25,34.375,15.625,68.75,43.75,50.0
B_박012,B,철학과,142,176,318,10,9,6,4,1,0.9,0.1111,1.0,0.1739,0.3333,78.125,53.125,68.75,81.25,68.75
B_박013,B,철학과,98,152,250,12,9,7,5,1,0.75,0.1111,1.0,0.1739,0.2222,12.5,53.125,68.75,81.25,43.75
B_박014,B,철학과,81,43,124,7,6,5,2,2,0.8571,0.3333,1.0,0.087,0.3333,59.375,93.75,68.75,12.5,68.75
B_박015,B,일어일문학과,166,116,282,11,10,8,3,1,0.9091,0.1,1.0,0.1739,0.5,87.5,40.625,68.75,81.25,93.75
B_박016,B,일어일문학과,274,230,504,13,10,7,6,1,0.7692,0.1,1.0,0.2174,0.4,25.0,40.625,68.75,100.0,84.375
C_강001,C,정치외교학과,224,226,450,12,10,6,6,6,0.8333,0.6,0.5,0.1,0.0,41.66666666666667,100.0,4.166666666666666,52.083333333333336,25.0
C_강002,C,사회복지학부,266,301,567,14,10,7,7,2,0.7143,0.2,0.6429,0.2,0.1,4.166666666666666,54.166666666666664,20.833333333333336,97.91666666666666,58.333333333333336
C_강003,C,사회복지학부,147,328,475,13,10,6,7,0,0.7692,0.0,0.5385,0.15,0.0,25.0,14.583333333333334,8.333333333333332,83.33333333333334,25.0
C_강004,C,평생교육학과,161,219,380,12,9,7,5,1,0.75,0.1111,0.5455,0.1,0.0,14.583333333333334,41.66666666666667,12.5,52.083333333333336,25.0
C_강005,C,평생교육학과,187,249,436,16,12,6,10,3,0.75,0.25,1.0,0.15,0.25,14.583333333333334,72.91666666666666,62.5,83.33333333333334,87.5
C_강006,C,정치외교학과,126,337,463,10,9,3,7,1,0.9,0.1111,1.0,0.1,0.1111,72.91666666666666,41.66666666666667,62.5,52.083333333333336,66.66666666666666
C_강007,C,평생교육학과,321,835,1156,9,8,4,5,3,0.8889,0.375,1.0,0.05,0.0,58.333333333333336,91.66666666666666,62.5,16.666666666666664,25.0
C_강008,C,사회복지학부,206,422,628,14,14,5,9,3,1.0,0.2143,1.0,0.05,0.0,93.75,60.416666666666664,62.5,16.666666666666664,25.0
C_강009,C,평생교육학과,158,226,384,9,7,5,4,0,0.7778,0.0,1.0,0.1,0.1429,29.166666666666668,14.583333333333334,62.5,52.083333333333336,77.08333333333334
C_강010,C,정보사회학과,181,108,289,8,7,5,3,1,0.875,0.1429,1.0,0.1,0.1429,50.0,50.0,62.5,52.083333333333336,77.08333333333334
C_강011,C,정치외교학과,248,115,363,8,6,5,3,0,0.75,0.0,0.625,0.1,0.0,14.583333333333334,14.583333333333334,16.666666666666664,52.083333333333336,25.0
C_강012,C,사회복지학부,146,130,276,10,9,6,4,4,0.9,0.4444,1.0,0.1,0.2222,72.91666666666666,95.83333333333334,62.5,52.083333333333336,83.33333333333334
C_강013,C,평생교육학과,206,538,744,14,14,6,8,1,1.0,0.0714,1.0,0.05,0.0,93.75,29.166666666666668,62.5,16.666666666666664,25.0
C_강014,C,사회복지학부,103,298,401,11,9,3,8,0,0.8182,0.0,1.0,0.1,0.1111,37.5,14.583333333333334,62.5,52.083333333333336,66.66666666666666
C_강015,C,정보사회학과,129,223,352,10,9,5,5,3,0.9,0.3333,1.0,0.05,0.0,72.91666666666666,85.41666666666666,62.5,16.666666666666664,25.0
C_강016,C,정보사회학과,178,195,373,11,10,7,4,3,0.9091,0.3,1.0,0.05,0.0,83.33333333333334,79.16666666666666,62.5,16.666666666666664,25.0
C_강017,C,정보사회학과,395,270,665,19,17,10,9,0,0.8947,0.0,1.0,0.05,0.0,62.5,14.583333333333334,62.5,16.666666666666664,25.0
C_강018,C,사회복지학부,118,251,369,10,9,5,5,2,0.9,0.2222,1.0,0.15,0.3333,72.91666666666666,66.66666666666666,62.5,83.33333333333334,91.66666666666666
C_강019,C,정보사회학과,510,207,717,13,11,8,5,1,0.8462,0.0909,1.0,0.15,0.3636,45.83333333333333,33.33333333333333,62.5,83.33333333333334,95.83333333333334
C_강020,C,정보사회학과,314,295,609,14,13,7,7,0,0.9286,0.0,1.0,0.15,0.0769,87.5,14.583333333333334,62.5,83.33333333333334,54.166666666666664
C_강021,C,정치외교학과,374,448,822,17,15,10,7,5,0.8824,0.3333,1.0,0.2,0.4,54.166666666666664,85.41666666666666,62.5,97.91666666666666,100.0
C_강022,C,사회복지학부,420,397,817,12,9,9,3,1,0.75,0.1111,1.0,0.1,0.1111,14.583333333333334,41.66666666666667,62.5,52.083333333333336,66.66666666666666
C_강023,C,정치외교학과,239,543,782,10,8,5,5,2,0.8,0.25,1.0,0.05,0.0,33.33333333333333,72.91666666666666,62.5,16.666666666666664,25.0
C_강024,C,사회복지학부,332,206,538,13,14,8,5,3,1.0769,0.2143,1.0,0.1,0.0714,100.0,60.416666666666664,62.5,52.083333333333336,50.0
D_유001,D,물리학과,184,141,325,9,7,6,3,1,0.7778,0.1429,1.0,0.1333,0.4286,22.5,37.5,70.0,70.0,92.5
D_유002,D,화학과,309,146,455,13,10,8,5,2,0.7692,0.2,0.8333,0.1333,0.4,15.0,60.0,27.500000000000004,70.0,82.5
D_유003,D,화학과,112,169,281,8,7,4,4,1,0.875,0.1429,1.0,0.1,0.5714,62.5,37.5,70.0,32.5,100.0
D_유004,D,의생명시스템학부,238,80,318,12,10,9,3,1,0.8333,0.1,0.8333,0.1333,0.2,37.5,20.0,27.500000000000004,70.0,32.5
D_유005,D,물리학과,288,221,509,10,9,6,4,2,0.9,0.2222,1.0,0.0667,0.1111,70.0,70.0,70.0,7.5,10.0
D_유006,D,화학과,79,93,172,9,7,5,4,1,0.7778,0.1429,1.0,0.1333,0.4286,22.5,37.5,70.0,70.0,92.5
D_유007,D,의생명시스템학부,324,270,594,17,18,8,9,0,1.0588,0.0,1.0,0.1,0.1667,100.0,7.5,70.0,32.5,20.0
D_유008,D,물리학과,140,196,336,11,10,5,6,1,0.9091,0.1,0.8182,0.1333,0.2,80.0,20.0,20.0,70.0,32.5
D_유009,D,화학과,231,226,457,13,11,7,6,4,0.8462,0.3636,0.6,0.1667,0.2727,45.0,80.0,10.0,92.5,50.0
D_유010,D,물리학과,138,236,374,10,8,4,6,4,0.8,0.5,1.0,0.1,0.375,30.0,100.0,70.0,32.5,70.0
D_유011,D,물리학과,191,158,349,11,10,7,4,2,0.9091,0.2,1.0,0.1,0.2,80.0,60.0,70.0,32.5,32.5
D_유012,D,화학과,123,261,384,8,5,3,5,2,0.625,0.4,0.625,0.1,0.4,5.0,90.0,15.0,32.5,82.5
D_유013,D,의생명시스템학부,351,243,594,11,10,7,4,1,0.9091,0.1,1.0,0.0667,0.1,80.0,20.0,70.0,7.5,5.0
D_유014,D,물리학과,563,401,964,25,23,14,11,9,0.92,0.3913,1.0,0.2,0.3043,90.0,85.0,70.0,100.0,60.0
D_유015,D,의생명시스템학부,340,222,562,10,7,6,4,1,0.7,0.1429,0.375,0.1333,0.1429,10.0,37.5,5.0,70.0,15.0
D_유016,D,화학과,256,330,586,12,10,6,6,2,0.8333,0.2,1.0,0.1,0.2,37.5,60.0,70.0,32.5,32.5
D_유017,D,화학과,360,169,529,14,14,9,5,4,1.0,0.2857,1.0,0.1333,0.2143,95.0,75.0,70.0,70.0,45.0
D_유018,D,의생명시스템학부,345,420,765,15,13,8,7,0,0.8667,0.0,0.8889,0.1667,0.3846,55.00000000000001,7.5,35.0,92.5,75.0
D_유019,D,물리학과,106,89,195,8,7,5,3,3,0.875,0.4286,1.0,0.1,0.2857,62.5,95.0,70.0,32.5,55.00000000000001
D_유020,D,물리학과,78,203,281,7,6,3,4,1,0.8571,0.1667,1.0,0.1,0.3333,50.0,50.0,70.0,32.5,65.0
